stime,uid,etime,lat,lng,stated,grid
2016-09-05 08:22:25,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 09:16:48,26.6392675641,106.7896365547,1,23907
2016-09-05 09:59:08,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 15:28:46,26.6397642448,106.7964543196,1,23908
2016-09-05 16:14:48,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 16:30:48,26.6392675641,106.7896365547,1,23907
2016-09-05 17:12:20,912ba5da04c03e75f2137f85b1a76e24,2016-09-06 12:27:57,26.6397642448,106.7964543196,1,23908
2016-09-05 00:29:02,09993f5146450150a05555928baaf49d,2016-09-05 09:30:43,27.0003987887,106.4479620487,1,43186
2016-09-05 10:22:43,09993f5146450150a05555928baaf49d,2016-09-05 10:38:43,26.9985161168,106.4416533825,1,43185
2016-09-05 11:30:45,09993f5146450150a05555928baaf49d,2016-09-06 08:19:21,26.9997896151,106.4484026853,1,43187
2016-09-05 00:12:20,a6be75d9512f51224cc24619e83d0217,2016-09-05 06:09:57,27.06583484,106.7985779,1,46939
2016-09-05 12:11:55,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:11:55,26.60082934,106.7755159,0,21698
2016-09-05 12:12:06,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:12:06,26.60082934,106.7755159,0,21698
2016-09-05 12:12:26,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:12:26,26.60082934,106.7755159,0,21698
2016-09-05 12:13:00,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:00,26.60082934,106.7755159,0,21698
2016-09-05 12:13:17,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:17,26.60082934,106.7755159,0,21698
2016-09-05 12:13:27,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:13:27,26.60082934,106.7755159,0,21698
2016-09-05 12:29:47,a6be75d9512f51224cc24619e83d0217,2016-09-05 12:48:35,26.6869072374,106.8903631168,1,26379
