stime,uid,etime,lat,lng,stated,grid
2016-09-05 09:59:08,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 15:28:46,26.6397642448,106.79645431959999,1,3709.0
2016-09-05 16:14:48,912ba5da04c03e75f2137f85b1a76e24,2016-09-05 16:30:48,26.6392675641,106.7896365547,1,3708.0
2016-09-05 17:12:20,912ba5da04c03e75f2137f85b1a76e24,2016-09-06 12:27:57,26.6397642448,106.79645431959999,1,3709.0
2016-09-05 08:30:09,733e2185e12100b590cf718d7464cea1,2016-09-07 08:37:19,26.5439293285,106.79915709209999,1,2408.0
2016-09-05 00:55:13,6f8889517c1367f4ff169afb92b6790c,2016-09-05 05:55:29,26.6126462021,106.7301329862,1,3322.0
2016-09-05 06:37:33,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:37:33,26.60244766,106.7255018,0,3197.0
2016-09-05 06:39:13,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:39:13,26.6043314855,106.72307625180001,0,3197.0
2016-09-05 06:41:06,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:41:06,26.60244725,106.7149335,0,3195.0
2016-09-05 06:41:36,6f8889517c1367f4ff169afb92b6790c,2016-09-05 06:41:36,26.5976570967,106.71748617860001,0,3134.0
2016-09-05 07:21:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:21:19,26.542653257399998,106.70465835879999,0,2325.0
2016-09-05 07:52:53,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:52:53,26.5126611911,106.6834312306,0,1948.0
2016-09-05 07:58:45,6f8889517c1367f4ff169afb92b6790c,2016-09-05 07:58:45,26.4966991938,106.67634486360001,0,1699.0
2016-09-05 08:52:48,6f8889517c1367f4ff169afb92b6790c,2016-09-05 14:43:56,26.488854657199997,106.6466596993,1,1630.0
2016-09-05 15:29:58,6f8889517c1367f4ff169afb92b6790c,2016-09-05 15:45:58,26.4787575473,106.63753367129999,1,1442.0
2016-09-05 16:32:02,6f8889517c1367f4ff169afb92b6790c,2016-09-05 18:23:31,26.488854657199997,106.6466596993,1,1630.0
2016-09-05 19:17:34,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:17:34,26.5008622223,106.6629426583,0,1758.0
2016-09-05 19:24:44,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:24:44,26.5126611911,106.6834312306,0,1948.0
2016-09-05 19:26:39,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:26:39,26.509823239499998,106.6878000088,0,1887.0
2016-09-05 19:49:31,6f8889517c1367f4ff169afb92b6790c,2016-09-05 19:49:31,26.5468877377,106.70510362389999,0,2387.0
2016-09-05 20:02:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:02:19,26.56624804,106.720179,0,2700.0
2016-09-05 20:03:19,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:03:19,26.559176863,106.7130960639,0,2575.0
2016-09-05 20:44:21,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:44:21,26.60244766,106.7255018,0,3197.0
2016-09-05 20:45:42,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:45:42,26.6066196473,106.72455402450001,0,3259.0
2016-09-05 20:59:37,6f8889517c1367f4ff169afb92b6790c,2016-09-05 20:59:37,26.6126462021,106.7301329862,0,3322.0
2016-09-05 21:30:36,6f8889517c1367f4ff169afb92b6790c,2016-09-05 21:30:36,26.6228756973,106.74614816020001,0,3450.0
2016-09-05 21:35:01,6f8889517c1367f4ff169afb92b6790c,2016-09-06 06:42:59,26.624701022100002,106.7539119767,1,3514.0
2016-09-05 08:48:14,ae52aa118255eabb2b236e7b92a85529,2016-09-06 18:35:27,26.4695639397,106.6745267505,1,1326.0
2016-09-05 00:28:18,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 00:28:18,26.57786706,106.6984896,0,2820.0
2016-09-05 00:30:11,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 00:30:11,26.57334443,106.6962626,0,2757.0
2016-09-05 00:30:54,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 09:21:37,26.57786706,106.6984896,1,2820.0
